alignment	dist	ecfp4	daylight		mces
COc1ccc(-c2ccc(C=NNc3ccc(F)c(C(=O)O)c3)o2)c([N+](=O)[O-])c1 ZINC001776061687	9	0.3711340206185567	0.43034055727554177		29
Cc1cc(-c2ccc(C=NNc3ccc(Cl)c(C(=O)O)c3)o2)c([N+](=O)[O-])cc1C ZINC000254746700	9	0.3829787234042553	0.4694533762057878		29
Cc1cc(-c2ccc(\C=N\Nc3ccc(Cl)c(C(=O)O)c3)o2)c([N+](=O)[O-])cc1C ZINC000016268042	9	0.3829787234042553	0.4694533762057878		29
Cn1cc(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)cn1 ZINC001339079316	9	0.46511627906976744	0.5087108013937283		26
CNC(=O)Cn1nc(NCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)cc1C ZINC001319662438	9	0.37373737373737376	0.39215686274509803		29
COc1ccc(-c2ccc(\C=C/c3nc(C(=O)O)c(C)s3)o2)c([N+](=O)[O-])c1 ZINC001777340966	9	0.35051546391752575	0.35278514588859416		28
COc1ccc(-c2ccc(\C=C\c3nc(C(=O)O)c(C)s3)o2)c([N+](=O)[O-])c1 ZINC001777340955	9	0.35051546391752575	0.35278514588859416		28
O=C(NCCNCc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)c3cccs3 ZINC001116019189	10	0.41304347826086957	0.432258064516129		28
O=[N+]([O-])c1ccc(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)nc1 ZINC001317877080	10	0.47058823529411764	0.4952076677316294		28
O=[N+]([O-])c1ccc(N\N=C/c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)nc1 ZINC000408749441	10	0.47058823529411764	0.4952076677316294		28
CCc1nnc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)s1 ZINC001343503885	10	0.4482758620689655	0.3951367781155015		27
COC[C@@H](C)NC(=S)NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1 ZINC000745985332	10	0.3473684210526316	0.46048109965635736		26
COC[C@H](C)NC(=S)NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1 ZINC000745985333	10	0.3473684210526316	0.46048109965635736		26
Cc1csc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)n1 ZINC000109867814	10	0.42696629213483145	0.411214953271028		26
Cc1nnc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)s1 ZINC001116513406	10	0.4482758620689655	0.4069400630914827		26
O=C(NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)c3ccccc3O ZINC000254449233	10	0.5	0.488135593220339		28
O=C(N\N=C/c1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)c3ccccc3O ZINC000016449230	10	0.5	0.488135593220339		28
O=C(N\N=C\c1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)c3ccccc3O ZINC000005583608	10	0.5	0.488135593220339		28
Cc1nc(CCNCc2ccc(-c3ccccc3[N+](=O)[O-])s2)sc1C(=O)O ZINC000426706480	10	0.25	0.27466666666666667		28
COCCCNC(=S)NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])s1 ZINC000812401858	10	0.24271844660194175	0.27647058823529413		26
O=C(NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])s1)N[C@@H]3CCS(=O)(=O)C3 ZINC000920384161	10	0.2403846153846154	0.31412103746397696		28
O=C(NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])s1)N[C@H]3CCS(=O)(=O)C3 ZINC000920384163	10	0.2403846153846154	0.31412103746397696		28
