PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1460,Fit_CurveClass_1460,Max_Response_1460,Potency_1460
16757639,C[C@H]1C(OC(=O)CC(CC(CCC(C(CC(C[C@]2(CC(C(C(O2)CC(/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(C1O)C)OC3C(C(C(C(O3)C)O)N)O)C(=O)O)O)O)O)O)O)O)O)C,-1.1,-96.1987,3.9811
2840108,C1=CC(=CC=C1C2=NC(=NN2)N=NC3=CC=C(C=C3)O)Br,-1.1,-96.1324,2.2387
5756985,CC/C(=C\C1=[N+](C2=C(S1)C=CC(=C2)OC)CCCS(=O)(=O)[O-])/C=C\3/N(C4=C(S3)C=CC(=C4)OC)CC,-1.1,-96.112,3.5481
5331296,CN(C)C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2O,-1.1,-96.1006,3.9811
4100469,C1=CC=C(C=C1)C2=C(N=C(N2)N=NC3=CC=CC=C3O)C4=CC=CC=C4,-1.1,-95.8899,4.4668
3940305,C1=CC=C(C=C1)C2=C(N=C(N2)N=NC3=CC=C(C=C3)O)C4=CC=CC=C4,-1.1,-95.8547,4.4668
3115142,CC1=CC=C(C=C1)C2=NC(=NN2)N=NC3=CC=C(C=C3)O,-1.1,-95.8019,2.5119
16682085,CC1(N(C2=C([N+]1=O)C=CC(=C2)[N+](=O)[O-])[O-])C.NO,-1.1,-95.8007,1.9953
1996293,COC1=CC2=C(C=C1)N=C(S2)N3C(=C(NC3=S)C4=C5C=CC=CC5=NC4=O)O,-1.1,-95.7403,2.2387
265940,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)NC3=CC4=C(C=C3)C=NN4,-1.1,-95.696,1.7783
4696,C1C=C2C(=CC(=O)O2)C(O1)O,-1.1,-95.6764,2.2387
2241667,COC1=CC2=C(C=C1)C(=O)/C(=C/NC3=CC4=C(C=C3)OCO4)/CC2,-1.1,-95.6754,1.2589
5898,CN1CC(C2=CC(=O)C(=O)C=C21)O,-1.1,-95.6209,3.1623
5358773,CCOC(=O)/C=C(\C)/SC1=C(C2=CC=CC=C2C(=C1)O)O,-1.1,-95.5561,1.7783
717270,COC1=C(C(=CC(=C1)/C=C\2/C(=O)N=C(S2)C3=CC=CC=C3)Cl)O,-1.1,-95.5464,4.4668
5083,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCSC(=N)N,-1.1,-95.5246,3.1623
135752303,C1COCCN1S(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=S)N/N=C/C3=C(C(=CC(=C3)Cl)[N+](=O)[O-])O,-1.1,-95.4984,3.1623
5307467,CCOC1=CC=CC=C1N2CN3C(=O)CC(C(=C3SC2)C#N)C4=C(C=CC5=CC=CC=C54)OC,-1.1,-95.4964,3.9811
135691086,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=S)N/N=C/C2=C(C(=C(C=C2)O)O)O,-1.1,-95.4726,3.1623
135460539,C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N/N=C/C3=C(C(=C(C=C3)O)O)O,-1.1,-95.4183,3.9811
3778958,CC1=CC(=C(C=C1N=CC2=C(C=CC(=C2)[N+](=O)[O-])O)C(C)C)O,-1.1,-95.3727,3.5481
659503,C1=C(C(=CC(=C1N)OCC(F)(F)F)OCC(F)(F)F)N,-1.1,-95.316,3.1623
720491,C1=CC(=CC=C1N=CC2=CC(=C(C=C2)O)O)O,-1.1,-95.2658,3.1623
16682403,CC1=CC2=C(C=C1N)SC3=CC(=[N+](C)C)C=CC3=N2.Cl,-1.1,-95.2643,1.122
232780,CC1=CC(=C(C=C1N=CC2=CC=CC=C2O)C(C)C)O,-1.1,-95.2278,3.5481
5333955,C[N+]1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)N(C)C.[I-],-1.1,-95.1928,3.9811
135439902,C1=CC=C(C=C1)/C(=N\NC2=CC=C(C=C2)Br)/N=NC3=NNN=N3,-1.1,-95.1171,4.4668
307167,CC(=O)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N(C)C,-1.1,-95.0774,1.0
802842,CC1=CC(=C(C=C1)N=CC2=C(C(=CC=C2)O)O)C,-1.1,-95.0499,3.1623
5781144,C1=C(C=C(C(=C1O)O)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O,-1.1,-95.0483,3.5481
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,-1.1,-95.0278,3.9811
4483668,C1=CC=C(C=C1)C(=O)ONC2=CC=C(C=C2)N=NC(=O)C3=CC=CC=C3O,-1.1,-95.0189,4.4668
6450842,CN(C)C1=CC=C(C=C1)/C=C\2/C3=CC=CC=C3NC2=O,-1.1,-95.0095,1.5849
5791769,CCC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4,-1.1,-94.889,3.9811
